Name,Ratings,Vote Count,Watch Time,Release Year
Hotel Rwanda,8.1, 385K,2h 1m,2004
Platoon,8.1, 459K,2h,1986
The Best Years of Our Lives,8.1, 75K,2h 50m,1946
Before Sunset,8.1, 305K,1h 20m,2004
The Sound of Music,8.1, 279K,2h 52m,1965
The Exorcist,8.1, 481K,2h 2m,1973
The Incredibles,8.0, 862K,1h 55m,2004
The Wizard of Oz,8.1, 453K,1h 42m,1939
Hachi: A Dog's Tale,8.1, 331K,1h 33m,2009
Rush,8.1, 540K,2h 3m,2013
The Passion of Joan of Arc,8.1, 66K,1h 54m,1928
Stand by Me,8.1, 468K,1h 29m,1986
My Father and My Son,8.2, 98K,1h 52m,2005
A Silent Voice: The Movie,8.1, 124K,2h 10m,2016
The Iron Giant,8.1, 248K,1h 26m,1999
Network,8.1, 181K,2h 1m,1976
The Handmaiden,8.1, 191K,2h 25m,2016
The Battle of Algiers,8.1, 72K,2h 1m,1966
The Grapes of Wrath,8.1, 106K,2h 9m,1940
To Be or Not to Be,8.1, 48K,1h 39m,1942
Into the Wild,8.0, 682K,2h 28m,2007
Groundhog Day,8.0, 721K,1h 41m,1993
The Help,8.1, 516K,2h 26m,2011
Gangs of Wasseypur,8.2, 109K,5h 21m,2012
Drishyam,8.2, 102K,2h 43m,2015
Andhadhun,8.2, 110K,2h 19m,2018
Amores Perros,8.0, 269K,2h 34m,2000
